종목명,시세,시가총액
삼성전자,187200,11081562
SK하이닉스,932000,6642386
삼성전자우,131400,1072191
현대차,486000,995123
LG에너지솔루션,355500,831870
SK스퀘어,555000,733083
삼성바이오로직스,1526000,706400
한화에어로스페이스,1276000,657949
두산에너빌리티,101300,648888
기아,162000,632469
KB금융,144700,539515
HD현대중공업,507000,532153
삼성물산,272000,462336
셀트리온,188500,435526
삼성생명,217000,434000
신한지주,89400,424341
한화오션,119900,367390
현대모비스,378500,343423
미래에셋증권,61700,342630
NAVER,209000,327822
HD현대일렉트릭,906000,326587
삼성전기,428000,319689
고려아연,1481000,309129
삼성SDI,377000,303807
하나금융지주,105500,293634
한국전력,45700,293378
한미반도체,300500,286413
POSCO홀딩스,325500,263437
HD한국조선해양,368500,260799
LS ELECTRIC,826000,247800
효성중공업,2581000,240667
SK,329500,238896
한화시스템,124300,234827
우리금융지주,31700,232702
삼성중공업,26150,230120
삼성화재,454500,209121
카카오,47050,208322
LG화학,290000,204718
HD현대,240000,189583
HMM,19890,187610
현대로템,169000,184450
기업은행,23100,184205
SK이노베이션,105800,178858
LG전자,109700,178686
메리츠금융지주,105100,177620
KT&G,151000,173162
두산,1069000,173112
현대건설,154000,171488
KODEX 200,80870,171161
포스코퓨처엠,186600,165974
한국항공우주,170000,165708
현대글로비스,215500,161625
SK텔레콤,74100,159159
TIGER 미국S&P500,24290,146116
KT,56900,143400
LIG넥스원,639000,140580
포스코인터내셔널,77100,135636
LG,86300,133093
삼성에피스홀딩스,514000,127899
하이브,289000,124466
DB손해보험,175500,121769
에이피알,323000,120925
S-Oil,105300,118550
삼성에스디에스,152600,118079
한국금융지주,209500,116746
NH투자증권,32650,116346
키움증권,413500,112109
카카오뱅크,23475,111986
현대오토에버,399000,109422
크래프톤,230000,109031
대한항공,24300,89478
현대차2우B,248000,86711
삼양식품,1149000,86554
LS,273000,85176
이수페타시스,115800,85008
삼성증권,94300,84210
KODEX CD금리액티브(합성),1075025,81740
한화,108900,81630
카카오페이,59800,80864
한화솔루션,46900,80618
TIGER 반도체TOP10,32320,79507
아모레퍼시픽,135800,79433
한진칼,118100,78846
KODEX 미국S&P500,22200,78499
TIGER 미국나스닥100,158995,78257
HD현대마린솔루션,170300,76348
KODEX 머니마켓액티브,103880,75178
유한양행,93600,74550
TIGER 200,80905,72167
SK바이오팜,91300,71500
대우건설,17180,71404
삼성E&A,35550,69678
KODEX 코스닥150,18960,69242
LG이노텍,289500,68516
삼성카드,58800,68125
한국타이어앤테크놀로지,54200,67140
LG유플러스,15110,64947
한미약품,503000,64439
HD건설기계,129800,62270
한전기술,161700,61802
